productid,customer_review
1,I was disappointed with the pasta. It tasted terrible.
2,The soup was perfect and the service was polite. Highly recommend!
3,Worst experience ever. The waiter was forgetful and the tacos was stale.
4,Absolutely loved it! The salad was fresh.
5,"Service was polite, but the food took too long to arrive."
6,"Service was friendly, but the food took too long to arrive."
7,I was disappointed with the steak. It tasted cold.
8,The curry was fresh and the service was quick. Highly recommend!
9,"I found the cake to be salty, but my partner liked theirs."
10,Quick delivery and the sandwich was still hot and fantastic.
11,"Great atmosphere, but the fries was just okay."
12,"The staff was forgetful, but the coffee was surprisingly amazing."
13,"Everything was excellent, from the burger to the drinks."
14,"Great atmosphere, but the burger was just okay."
15,"I found the fries to be salty, but my partner liked theirs."
16,Absolutely loved it! The coffee was fresh.
17,"Service was friendly, but the food took too long to arrive."
18,"I found the pizza to be salty, but my partner liked theirs."
19,I was disappointed with the burger. It tasted undercooked.
20,Worst experience ever. The waiter was slow and the steak was salty.
21,Don't waste your money. The cake is bland and small portions.
22,"The staff was forgetful, but the tacos was surprisingly mouth-watering."
23,Quick delivery and the tacos was still hot and amazing.
24,Worst experience ever. The waiter was inattentive and the pasta was undercooked.
25,Worst experience ever. The waiter was inattentive and the tacos was overpriced.
26,Absolutely loved it! The cake was delicious.
27,Worst experience ever. The waiter was unprofessional and the cake was cold.
28,"Everything was perfect, from the tacos to the drinks."
29,Don't waste your money. The cake is cold and small portions.
30,Absolutely loved it! The sandwich was fresh.
31,Worst experience ever. The waiter was unprofessional and the steak was disappointing.
32,"I found the cake to be stale, but my partner liked theirs."
33,"Service was friendly, but the food took too long to arrive."
34,I was disappointed with the curry. It tasted stale.
35,"Service was quick, but the food took too long to arrive."
36,"Great atmosphere, but the soup was just okay."
37,"Everything was perfect, from the burger to the drinks."
38,Don't waste your money. The coffee is stale and small portions.
39,The fries was fresh and the service was friendly. Highly recommend!
40,Quick delivery and the tacos was still hot and mouth-watering.
41,"Great atmosphere, but the burger was just okay."
42,The sandwich was amazing and the service was attentive. Highly recommend!
43,"Great atmosphere, but the salad was just okay."
44,"The staff was slow, but the coffee was surprisingly amazing."
45,Absolutely loved it! The pizza was flavorful.
46,I was disappointed with the ramen. It tasted stale.
47,"Everything was fantastic, from the tacos to the drinks."
48,Absolutely loved it! The burger was delicious.
49,"Great atmosphere, but the ramen was just okay."
50,Absolutely loved it! The coffee was flavorful.
51,Absolutely loved it! The coffee was amazing.
52,"Service was quick, but the food took too long to arrive."
53,"Service was polite, but the food took too long to arrive."
54,Absolutely loved it! The tacos was delicious.
55,"Everything was mouth-watering, from the salad to the drinks."
56,"Service was friendly, but the food took too long to arrive."
57,Worst experience ever. The waiter was unprofessional and the pasta was terrible.
58,I was disappointed with the tacos. It tasted salty.
59,Quick delivery and the coffee was still hot and flavorful.
60,The burger was amazing and the service was welcoming. Highly recommend!
61,Quick delivery and the tacos was still hot and perfect.
62,"The staff was rude, but the cake was surprisingly mouth-watering."
63,"Great atmosphere, but the sandwich was just okay."
64,"I found the curry to be greasy, but my partner liked theirs."
65,"Service was friendly, but the food took too long to arrive."
66,Don't waste your money. The ramen is cold and small portions.
67,Don't waste your money. The coffee is stale and small portions.
68,"I found the tacos to be disappointing, but my partner liked theirs."
69,"The staff was forgetful, but the ramen was surprisingly excellent."
70,"The staff was forgetful, but the coffee was surprisingly amazing."
71,"Great atmosphere, but the sandwich was just okay."
72,A hidden gem! Best ramen I have had in a long time.
73,A hidden gem! Best fries I have had in a long time.
74,I was disappointed with the soup. It tasted bland.
75,"I found the burger to be salty, but my partner liked theirs."
76,"The staff was slow, but the salad was surprisingly mouth-watering."
77,"Everything was mouth-watering, from the burger to the drinks."
78,"I found the soup to be salty, but my partner liked theirs."
79,Worst experience ever. The waiter was unprofessional and the soup was terrible.
80,"Everything was delicious, from the tacos to the drinks."
81,"Everything was excellent, from the coffee to the drinks."
82,Worst experience ever. The waiter was forgetful and the fries was bland.
83,"Great atmosphere, but the soup was just okay."
84,"Everything was delicious, from the salad to the drinks."
85,"Great atmosphere, but the ramen was just okay."
86,Quick delivery and the sushi was still hot and fantastic.
87,"Great atmosphere, but the burger was just okay."
88,"I found the soup to be disappointing, but my partner liked theirs."
89,The coffee was mouth-watering and the service was attentive. Highly recommend!
90,Don't waste your money. The tacos is cold and small portions.
91,"I found the fries to be terrible, but my partner liked theirs."
92,"Service was quick, but the food took too long to arrive."
93,"I found the ramen to be overpriced, but my partner liked theirs."
94,A hidden gem! Best fries I have had in a long time.
95,Quick delivery and the cake was still hot and perfect.
96,Worst experience ever. The waiter was slow and the steak was overpriced.
97,"The staff was slow, but the salad was surprisingly mouth-watering."
98,Don't waste your money. The cake is greasy and small portions.
99,"Service was quick, but the food took too long to arrive."
100,"The staff was inattentive, but the salad was surprisingly delicious."
101,"Great atmosphere, but the steak was just okay."
102,A hidden gem! Best fries I have had in a long time.
103,Worst experience ever. The waiter was slow and the pasta was bland.
104,"Everything was amazing, from the coffee to the drinks."
105,Don't waste your money. The ramen is cold and small portions.
106,"Great atmosphere, but the pizza was just okay."
107,A hidden gem! Best fries I have had in a long time.
108,"I found the steak to be greasy, but my partner liked theirs."
109,"I found the salad to be disappointing, but my partner liked theirs."
110,"I found the tacos to be bland, but my partner liked theirs."
111,"Everything was fresh, from the pasta to the drinks."
112,Absolutely loved it! The tacos was flavorful.
113,"Everything was flavorful, from the soup to the drinks."
114,"Great atmosphere, but the fries was just okay."
115,Quick delivery and the steak was still hot and perfect.
116,"I found the pasta to be stale, but my partner liked theirs."
117,Don't waste your money. The burger is bland and small portions.
118,"I found the cake to be undercooked, but my partner liked theirs."
119,A hidden gem! Best pizza I have had in a long time.
120,Don't waste your money. The cake is cold and small portions.
121,Absolutely loved it! The burger was amazing.
122,"Everything was flavorful, from the burger to the drinks."
123,"The staff was slow, but the cake was surprisingly fantastic."
124,"The staff was slow, but the ramen was surprisingly delicious."
125,Worst experience ever. The waiter was forgetful and the pizza was greasy.
126,I was disappointed with the sandwich. It tasted salty.
127,The steak was fresh and the service was quick. Highly recommend!
128,"I found the fries to be disappointing, but my partner liked theirs."
129,Worst experience ever. The waiter was inattentive and the sandwich was salty.
130,Don't waste your money. The pizza is overpriced and small portions.
131,"Great atmosphere, but the ramen was just okay."
132,Worst experience ever. The waiter was inattentive and the salad was bland.
133,Don't waste your money. The sandwich is stale and small portions.
134,I was disappointed with the sandwich. It tasted stale.
135,"Everything was delicious, from the ramen to the drinks."
136,"Service was attentive, but the food took too long to arrive."
137,Absolutely loved it! The burger was amazing.
138,Don't waste your money. The fries is terrible and small portions.
139,"Everything was fantastic, from the soup to the drinks."
140,"Everything was fresh, from the salad to the drinks."
141,Don't waste your money. The steak is terrible and small portions.
142,"Everything was mouth-watering, from the salad to the drinks."
143,Quick delivery and the fries was still hot and mouth-watering.
144,The steak was mouth-watering and the service was polite. Highly recommend!
145,Worst experience ever. The waiter was inattentive and the ramen was terrible.
146,"I found the steak to be salty, but my partner liked theirs."
147,Worst experience ever. The waiter was slow and the curry was overpriced.
148,Don't waste your money. The sandwich is disappointing and small portions.
149,Absolutely loved it! The fries was fresh.
150,Worst experience ever. The waiter was inattentive and the tacos was terrible.
151,A hidden gem! Best fries I have had in a long time.
152,The pasta was mouth-watering and the service was attentive. Highly recommend!
153,"Service was welcoming, but the food took too long to arrive."
154,"I found the sushi to be overpriced, but my partner liked theirs."
155,Quick delivery and the ramen was still hot and excellent.
156,"Great atmosphere, but the fries was just okay."
157,"Everything was excellent, from the tacos to the drinks."
158,The soup was excellent and the service was quick. Highly recommend!
159,"Service was friendly, but the food took too long to arrive."
160,I was disappointed with the fries. It tasted overpriced.
161,Absolutely loved it! The salad was amazing.
162,A hidden gem! Best soup I have had in a long time.
163,Don't waste your money. The burger is terrible and small portions.
164,"Great atmosphere, but the cake was just okay."
165,Worst experience ever. The waiter was unprofessional and the pasta was cold.
166,Don't waste your money. The salad is overpriced and small portions.
167,The burger was excellent and the service was polite. Highly recommend!
168,Quick delivery and the tacos was still hot and fresh.
169,Absolutely loved it! The soup was fresh.
170,Absolutely loved it! The pasta was amazing.
171,A hidden gem! Best fries I have had in a long time.
172,Worst experience ever. The waiter was forgetful and the steak was bland.
173,"The staff was rude, but the soup was surprisingly flavorful."
174,"Great atmosphere, but the pasta was just okay."
175,A hidden gem! Best sandwich I have had in a long time.
176,I was disappointed with the steak. It tasted terrible.
177,The salad was perfect and the service was welcoming. Highly recommend!
178,"Service was friendly, but the food took too long to arrive."
179,A hidden gem! Best sandwich I have had in a long time.
180,Worst experience ever. The waiter was forgetful and the fries was undercooked.
181,"Service was welcoming, but the food took too long to arrive."
182,Don't waste your money. The burger is salty and small portions.
183,I was disappointed with the curry. It tasted bland.
184,"Service was attentive, but the food took too long to arrive."
185,I was disappointed with the fries. It tasted undercooked.
186,"Great atmosphere, but the soup was just okay."
187,A hidden gem! Best steak I have had in a long time.
188,"Service was quick, but the food took too long to arrive."
189,Don't waste your money. The salad is salty and small portions.
190,"The staff was inattentive, but the pasta was surprisingly excellent."
191,"I found the pasta to be undercooked, but my partner liked theirs."
192,Worst experience ever. The waiter was rude and the coffee was bland.
193,I was disappointed with the fries. It tasted disappointing.
194,"I found the coffee to be cold, but my partner liked theirs."
195,The fries was mouth-watering and the service was attentive. Highly recommend!
196,"Service was friendly, but the food took too long to arrive."
197,I was disappointed with the sushi. It tasted salty.
198,Don't waste your money. The salad is salty and small portions.
199,Don't waste your money. The sushi is stale and small portions.
200,A hidden gem! Best curry I have had in a long time.
201,A hidden gem! Best soup I have had in a long time.
202,Don't waste your money. The soup is greasy and small portions.
203,"Service was welcoming, but the food took too long to arrive."
204,A hidden gem! Best tacos I have had in a long time.
205,Absolutely loved it! The pasta was flavorful.
206,"Everything was fantastic, from the salad to the drinks."
207,"Service was attentive, but the food took too long to arrive."
208,Don't waste your money. The pasta is greasy and small portions.
209,"The staff was rude, but the salad was surprisingly fresh."
210,I was disappointed with the salad. It tasted greasy.
211,Absolutely loved it! The salad was fantastic.
212,"I found the salad to be bland, but my partner liked theirs."
213,Worst experience ever. The waiter was unprofessional and the curry was bland.
214,Worst experience ever. The waiter was unprofessional and the sandwich was bland.
215,"The staff was forgetful, but the curry was surprisingly excellent."
216,"Everything was excellent, from the pasta to the drinks."
217,"Great atmosphere, but the fries was just okay."
218,"Everything was excellent, from the cake to the drinks."
219,The salad was mouth-watering and the service was welcoming. Highly recommend!
220,Worst experience ever. The waiter was slow and the cake was stale.
221,"Service was polite, but the food took too long to arrive."
222,"Service was polite, but the food took too long to arrive."
223,Worst experience ever. The waiter was forgetful and the fries was bland.
224,I was disappointed with the burger. It tasted stale.
225,Worst experience ever. The waiter was inattentive and the cake was disappointing.
226,Quick delivery and the soup was still hot and flavorful.
227,Quick delivery and the coffee was still hot and perfect.
228,A hidden gem! Best pasta I have had in a long time.
229,Quick delivery and the sushi was still hot and fantastic.
230,Quick delivery and the cake was still hot and excellent.
231,Absolutely loved it! The sushi was excellent.
232,Don't waste your money. The coffee is salty and small portions.
233,The pizza was perfect and the service was attentive. Highly recommend!
234,Don't waste your money. The salad is stale and small portions.
235,"Service was friendly, but the food took too long to arrive."
236,Quick delivery and the burger was still hot and excellent.
237,"Everything was flavorful, from the sushi to the drinks."
238,"The staff was slow, but the sandwich was surprisingly fantastic."
239,"The staff was unprofessional, but the burger was surprisingly fresh."
240,Quick delivery and the salad was still hot and fantastic.
241,Don't waste your money. The curry is undercooked and small portions.
242,A hidden gem! Best cake I have had in a long time.
243,Quick delivery and the pizza was still hot and mouth-watering.
244,Don't waste your money. The salad is bland and small portions.
245,Don't waste your money. The cake is disappointing and small portions.
246,I was disappointed with the steak. It tasted bland.
247,Worst experience ever. The waiter was forgetful and the sandwich was disappointing.
248,A hidden gem! Best soup I have had in a long time.
249,Absolutely loved it! The pasta was perfect.
250,"Service was attentive, but the food took too long to arrive."
251,"Great atmosphere, but the fries was just okay."
252,"I found the fries to be terrible, but my partner liked theirs."
253,Absolutely loved it! The cake was delicious.
254,Don't waste your money. The cake is disappointing and small portions.
255,The salad was perfect and the service was friendly. Highly recommend!
256,I was disappointed with the salad. It tasted terrible.
257,I was disappointed with the soup. It tasted overpriced.
258,Quick delivery and the cake was still hot and fresh.
259,A hidden gem! Best pasta I have had in a long time.
260,"The staff was inattentive, but the sushi was surprisingly excellent."
261,Absolutely loved it! The coffee was excellent.
262,Absolutely loved it! The sandwich was fresh.
263,I was disappointed with the sandwich. It tasted salty.
264,"Everything was amazing, from the cake to the drinks."
265,Worst experience ever. The waiter was slow and the salad was disappointing.
266,Absolutely loved it! The sandwich was delicious.
267,Quick delivery and the sandwich was still hot and perfect.
268,Don't waste your money. The salad is stale and small portions.
269,A hidden gem! Best soup I have had in a long time.
270,Quick delivery and the soup was still hot and perfect.
271,I was disappointed with the tacos. It tasted greasy.
272,Don't waste your money. The curry is salty and small portions.
273,Quick delivery and the tacos was still hot and delicious.
274,Quick delivery and the burger was still hot and delicious.
275,Worst experience ever. The waiter was forgetful and the coffee was bland.
276,"Everything was fantastic, from the soup to the drinks."
277,Quick delivery and the coffee was still hot and delicious.
278,"I found the coffee to be overpriced, but my partner liked theirs."
279,Worst experience ever. The waiter was rude and the ramen was stale.
280,"I found the pasta to be terrible, but my partner liked theirs."
281,Quick delivery and the pasta was still hot and delicious.
282,"Service was polite, but the food took too long to arrive."
283,"Great atmosphere, but the coffee was just okay."
284,Quick delivery and the coffee was still hot and delicious.
285,A hidden gem! Best pasta I have had in a long time.
286,The burger was excellent and the service was welcoming. Highly recommend!
287,"I found the pizza to be greasy, but my partner liked theirs."
288,"Great atmosphere, but the tacos was just okay."
289,Quick delivery and the pizza was still hot and excellent.
290,"Service was quick, but the food took too long to arrive."
291,"The staff was unprofessional, but the coffee was surprisingly mouth-watering."
292,Worst experience ever. The waiter was unprofessional and the curry was overpriced.
293,Absolutely loved it! The coffee was amazing.
294,Don't waste your money. The sushi is disappointing and small portions.
295,Don't waste your money. The curry is overpriced and small portions.
296,Don't waste your money. The curry is salty and small portions.
297,Absolutely loved it! The burger was flavorful.
298,"I found the sandwich to be overpriced, but my partner liked theirs."
299,Don't waste your money. The ramen is salty and small portions.
300,"Great atmosphere, but the sandwich was just okay."
301,"Great atmosphere, but the pasta was just okay."
302,Absolutely loved it! The steak was fresh.
303,The tacos was amazing and the service was welcoming. Highly recommend!
304,Absolutely loved it! The burger was excellent.
305,A hidden gem! Best sandwich I have had in a long time.
306,"I found the cake to be stale, but my partner liked theirs."
307,"Everything was perfect, from the tacos to the drinks."
308,Worst experience ever. The waiter was unprofessional and the soup was terrible.
309,Absolutely loved it! The curry was delicious.
310,Don't waste your money. The pizza is greasy and small portions.
311,"Everything was amazing, from the sandwich to the drinks."
312,"Everything was fantastic, from the pizza to the drinks."
313,I was disappointed with the ramen. It tasted bland.
314,Quick delivery and the burger was still hot and delicious.
315,The fries was excellent and the service was friendly. Highly recommend!
316,The sandwich was fantastic and the service was attentive. Highly recommend!
317,"Great atmosphere, but the tacos was just okay."
318,I was disappointed with the pizza. It tasted salty.
319,"Everything was mouth-watering, from the salad to the drinks."
320,"The staff was rude, but the ramen was surprisingly amazing."
321,Absolutely loved it! The coffee was mouth-watering.
322,"Everything was fantastic, from the salad to the drinks."
323,"The staff was unprofessional, but the ramen was surprisingly perfect."
324,A hidden gem! Best cake I have had in a long time.
325,I was disappointed with the curry. It tasted greasy.
326,I was disappointed with the pasta. It tasted salty.
327,"The staff was slow, but the pasta was surprisingly amazing."
328,"I found the curry to be bland, but my partner liked theirs."
329,"Everything was delicious, from the sandwich to the drinks."
330,A hidden gem! Best pasta I have had in a long time.
331,I was disappointed with the fries. It tasted terrible.
332,Absolutely loved it! The steak was excellent.
333,"The staff was slow, but the salad was surprisingly delicious."
334,I was disappointed with the ramen. It tasted overpriced.
335,The curry was fantastic and the service was attentive. Highly recommend!
336,The coffee was flavorful and the service was quick. Highly recommend!
337,Absolutely loved it! The soup was fantastic.
338,A hidden gem! Best sandwich I have had in a long time.
339,"Service was attentive, but the food took too long to arrive."
340,Absolutely loved it! The ramen was perfect.
341,A hidden gem! Best coffee I have had in a long time.
342,Worst experience ever. The waiter was rude and the burger was bland.
343,The burger was perfect and the service was polite. Highly recommend!
344,"I found the sandwich to be overpriced, but my partner liked theirs."
345,"Service was friendly, but the food took too long to arrive."
346,A hidden gem! Best steak I have had in a long time.
347,"Great atmosphere, but the burger was just okay."
348,The pasta was fresh and the service was attentive. Highly recommend!
349,"I found the salad to be bland, but my partner liked theirs."
350,Don't waste your money. The ramen is disappointing and small portions.
351,"Great atmosphere, but the steak was just okay."
352,"I found the curry to be overpriced, but my partner liked theirs."
353,"Everything was delicious, from the ramen to the drinks."
354,"Service was quick, but the food took too long to arrive."
355,"Everything was perfect, from the burger to the drinks."
356,Quick delivery and the curry was still hot and fresh.
357,"The staff was slow, but the pasta was surprisingly mouth-watering."
358,Absolutely loved it! The steak was excellent.
359,"Service was polite, but the food took too long to arrive."
360,Worst experience ever. The waiter was forgetful and the ramen was bland.
361,Don't waste your money. The cake is salty and small portions.
362,A hidden gem! Best steak I have had in a long time.
363,"Everything was excellent, from the ramen to the drinks."
364,"Service was attentive, but the food took too long to arrive."
365,"Great atmosphere, but the pizza was just okay."
366,Quick delivery and the soup was still hot and mouth-watering.
367,Quick delivery and the pasta was still hot and amazing.
368,I was disappointed with the pasta. It tasted greasy.
369,A hidden gem! Best pasta I have had in a long time.
370,"Service was friendly, but the food took too long to arrive."
371,The soup was excellent and the service was quick. Highly recommend!
372,"I found the pasta to be overpriced, but my partner liked theirs."
373,The curry was fresh and the service was polite. Highly recommend!
374,"I found the steak to be overpriced, but my partner liked theirs."
375,"Great atmosphere, but the pizza was just okay."
376,Don't waste your money. The tacos is bland and small portions.
377,The soup was excellent and the service was friendly. Highly recommend!
378,"Service was friendly, but the food took too long to arrive."
379,"The staff was forgetful, but the fries was surprisingly excellent."
380,"Great atmosphere, but the burger was just okay."
381,Absolutely loved it! The fries was fantastic.
382,"The staff was inattentive, but the ramen was surprisingly fresh."
383,"I found the pasta to be bland, but my partner liked theirs."
384,"I found the pizza to be bland, but my partner liked theirs."
385,"Everything was fantastic, from the sandwich to the drinks."
386,Don't waste your money. The pasta is undercooked and small portions.
387,"Everything was perfect, from the soup to the drinks."
388,Worst experience ever. The waiter was rude and the steak was cold.
389,"The staff was inattentive, but the ramen was surprisingly amazing."
390,"Service was attentive, but the food took too long to arrive."
391,"I found the pizza to be bland, but my partner liked theirs."
392,I was disappointed with the curry. It tasted bland.
393,Absolutely loved it! The salad was amazing.
394,Quick delivery and the curry was still hot and amazing.
395,"The staff was inattentive, but the soup was surprisingly delicious."
396,Absolutely loved it! The tacos was perfect.
397,Quick delivery and the pasta was still hot and perfect.
398,Quick delivery and the cake was still hot and excellent.
399,Worst experience ever. The waiter was forgetful and the salad was disappointing.
400,Quick delivery and the tacos was still hot and mouth-watering.
401,The ramen was perfect and the service was attentive. Highly recommend!
402,I was disappointed with the soup. It tasted disappointing.
403,Quick delivery and the tacos was still hot and fresh.
404,"I found the ramen to be undercooked, but my partner liked theirs."
405,The cake was perfect and the service was polite. Highly recommend!
406,Quick delivery and the burger was still hot and perfect.
407,"Service was welcoming, but the food took too long to arrive."
408,"Everything was amazing, from the sushi to the drinks."
409,Absolutely loved it! The tacos was flavorful.
410,"Great atmosphere, but the sushi was just okay."
411,"Service was friendly, but the food took too long to arrive."
412,A hidden gem! Best coffee I have had in a long time.
413,A hidden gem! Best sandwich I have had in a long time.
414,"Great atmosphere, but the burger was just okay."
415,"I found the soup to be bland, but my partner liked theirs."
416,I was disappointed with the curry. It tasted cold.
417,I was disappointed with the cake. It tasted bland.
418,"Everything was excellent, from the coffee to the drinks."
419,"Service was attentive, but the food took too long to arrive."
420,The ramen was fantastic and the service was welcoming. Highly recommend!
421,Don't waste your money. The sandwich is bland and small portions.
422,Worst experience ever. The waiter was slow and the pizza was bland.
423,"Great atmosphere, but the pizza was just okay."
424,Worst experience ever. The waiter was forgetful and the fries was greasy.
425,Don't waste your money. The sushi is stale and small portions.
426,"Service was welcoming, but the food took too long to arrive."
427,"The staff was rude, but the pizza was surprisingly fresh."
428,"Service was welcoming, but the food took too long to arrive."
429,Quick delivery and the steak was still hot and fresh.
430,"Service was quick, but the food took too long to arrive."
431,A hidden gem! Best burger I have had in a long time.
432,"Great atmosphere, but the burger was just okay."
433,"Great atmosphere, but the curry was just okay."
434,"The staff was rude, but the fries was surprisingly amazing."
435,The soup was perfect and the service was quick. Highly recommend!
436,A hidden gem! Best burger I have had in a long time.
437,"Great atmosphere, but the fries was just okay."
438,"Everything was delicious, from the sushi to the drinks."
439,"The staff was forgetful, but the ramen was surprisingly fantastic."
440,Worst experience ever. The waiter was slow and the steak was bland.
441,Absolutely loved it! The curry was perfect.
442,"Everything was flavorful, from the tacos to the drinks."
443,Don't waste your money. The pizza is cold and small portions.
444,Worst experience ever. The waiter was rude and the fries was salty.
445,Don't waste your money. The steak is undercooked and small portions.
446,"Everything was flavorful, from the salad to the drinks."
447,Don't waste your money. The tacos is bland and small portions.
448,"Great atmosphere, but the ramen was just okay."
449,A hidden gem! Best coffee I have had in a long time.
450,Don't waste your money. The fries is stale and small portions.
451,Absolutely loved it! The soup was fresh.
452,The cake was fresh and the service was welcoming. Highly recommend!
453,I was disappointed with the sushi. It tasted cold.
454,Worst experience ever. The waiter was unprofessional and the soup was disappointing.
455,Don't waste your money. The cake is bland and small portions.
456,I was disappointed with the fries. It tasted salty.
457,The pasta was flavorful and the service was friendly. Highly recommend!
458,"Everything was mouth-watering, from the fries to the drinks."
459,Don't waste your money. The tacos is disappointing and small portions.
460,"Everything was flavorful, from the sandwich to the drinks."
461,Worst experience ever. The waiter was inattentive and the salad was bland.
462,"Service was welcoming, but the food took too long to arrive."
463,"Great atmosphere, but the fries was just okay."
464,Quick delivery and the pasta was still hot and fresh.
465,"Great atmosphere, but the cake was just okay."
466,A hidden gem! Best curry I have had in a long time.
467,"Everything was perfect, from the sandwich to the drinks."
468,Quick delivery and the steak was still hot and amazing.
469,"Everything was delicious, from the fries to the drinks."
470,Don't waste your money. The curry is overpriced and small portions.
471,Absolutely loved it! The tacos was fresh.
472,A hidden gem! Best salad I have had in a long time.
473,I was disappointed with the cake. It tasted greasy.
474,"Great atmosphere, but the fries was just okay."
475,"I found the curry to be cold, but my partner liked theirs."
476,"Great atmosphere, but the soup was just okay."
477,A hidden gem! Best curry I have had in a long time.
478,Absolutely loved it! The fries was excellent.
479,"Great atmosphere, but the coffee was just okay."
480,The soup was delicious and the service was welcoming. Highly recommend!
481,Don't waste your money. The pizza is terrible and small portions.
482,"I found the fries to be stale, but my partner liked theirs."
483,Worst experience ever. The waiter was rude and the ramen was overpriced.
484,"The staff was rude, but the pizza was surprisingly amazing."
485,"Service was friendly, but the food took too long to arrive."
486,Don't waste your money. The sandwich is disappointing and small portions.
487,"Great atmosphere, but the pasta was just okay."
488,A hidden gem! Best fries I have had in a long time.
489,"I found the soup to be bland, but my partner liked theirs."
490,"Everything was amazing, from the ramen to the drinks."
491,"The staff was inattentive, but the salad was surprisingly fantastic."
492,Worst experience ever. The waiter was forgetful and the pasta was stale.
493,Absolutely loved it! The soup was perfect.
494,"Great atmosphere, but the burger was just okay."
495,"Service was quick, but the food took too long to arrive."
496,I was disappointed with the steak. It tasted undercooked.
497,"Service was attentive, but the food took too long to arrive."
498,Worst experience ever. The waiter was rude and the soup was undercooked.
499,"I found the pasta to be stale, but my partner liked theirs."
